time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
0.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
1.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999977936,2.5499996500580746,2.5420009762862876
2.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999967,2.5499999998335974,2.5499966056008323,2.5343298521169
3.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999194,2.5499999984339716,2.5499880972168785,2.526967032070771
4.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999245,2.5499999928231647,2.5499716939961825,2.5198942277627228
5.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999995961,2.5499999773131177,2.54994527220124,2.513094365696559
6.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999998,2.54999999998459,2.5499999428776974,2.549906986570176,2.506551501839152
7.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999905,2.549999999953108,2.5499998766863605,2.5498552440417863,2.5002507424163865
8.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999665,2.5499999998786476,2.5499997617751693,2.5497886797085574,2.4941781704686097
9.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999998995,2.5499999997219485,2.54999957683552,2.5497061348185928,2.488320777737518
10.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999997347,2.549999999420569,2.5499992961031688,2.549606636661174,2.4826664014882835
11.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999993688,2.5499999988809177,2.5499988893321195,2.549489380183486,2.4772036659003427
12.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999986156,2.549999997969168,2.549998321839728,2.549353711197903,2.471921927687713
13.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999971665,2.5499999965011835,2.5499975546109845,2.549199111050198,2.466811225635198
14.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999976,2.5499999999945286,2.5499999942315594,2.549996544451375,2.5490251826292125,2.4618622337604115
15.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999994,2.5499999999899443,2.5499999908419184,2.5499952441790317,2.5488316376079085,2.457066217833375
16.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999865,2.549999999982297,2.5499999859285976,2.5499936028480232,2.5486182848144137,2.4524149950056646
17.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999973,2.549999999969978,2.5499999789898746,2.549991565995676,2.5483850196396944,2.4479008963197497
18.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.54999999999995,2.549999999950744,2.549999969412857,2.549989075907769,2.54813181439591,2.4435167318864415
19.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.54999999999991,2.5499999999215293,2.5499999564601876,2.549986071896237,2.5478587095463308,2.4392557585343506
20.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999998435,2.549999999878226,2.5499999392566886,2.549982490584783,2.5475658057340422,2.435111649749964
21.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999737,2.5499999998154417,2.5499999167760725,2.5499782661984502,2.5472532565424593,2.4310784677406314
22.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999995686,2.549999999726202,2.5499998878278363,2.5499733308537733,2.5469212619260757,2.427150637465317
23.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999311,2.549999999601625,2.5499998510444444,2.5499676148466777,2.5465700622548173,2.4233229224896013
24.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999998923,2.5499999994305473,2.5499998048689037,2.549961046935721,2.546199932919945,2.4195904025321795
25.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999983514,2.549999999199113,2.549999747542823,2.549953554618702,2.5458111794536675,2.4159484525800177
26.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999999,2.5499999999975227,2.5499999988903133,2.5499996770950224,2.5499450644010033,2.5454041331185073,2.4123927234585136
27.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999954,2.5499999999963405,2.549999998483484,2.549999591330782,2.549935502054355,2.5449791469260354,2.408919123751452
28.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999992,2.5499999999946774,2.5499999979537575,2.549999487821776,2.549924792864987,2.544536592047896,2.4055238029734003
29.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999865,2.549999999992371,2.5499999972714686,2.5499993638967524,2.5499128618703675,2.544076854585072,2.402203135904402
30.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999979,2.549999999989213,2.5499999964015165,2.549999216632993,2.549899634083945,2.5436003326641266,2.3989537080035177
31.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999674,2.54999999998494,2.5499999953026777,2.549999042848601,2.549885034707483,2.543107433831757,2.395772301823928
32.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999514,2.549999999979223,2.5499999939268863,2.5499988390956214,2.549868989330753,2.5425985727213294,2.3926558843580277
33.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999929,2.549999999971652,2.549999992218457,2.5499986016540377,2.5498514241184624,2.542074168967264,2.389601595246207
34.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999998977,2.5499999999617247,2.5499999901132804,2.5499983265266364,2.5498322659844304,2.541534645345152,2.386606735787901
