time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
0.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
1.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000002565,28.00000000758298,28.000002218011055,28.000135438145143
2.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000135,28.00000000006345,28.00000001133938,28.000000867574663,28.00002944954379,28.00044964693104
3.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000437,28.000000000065153,28.00000000540378,28.000000253474784,28.000006735878316,28.000101208153005,28.000868882325282
4.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000394,28.000000000034206,28.00000000190356,28.000000068406965,28.000001581480777,28.000023409356622,28.000221968297417,28.00136955481537
5.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.00000000000022,28.00000000001365,28.000000000591065,28.000000017905865,28.00000037774869,28.000005521539208,28.000055779106713,28.000391231663627,28.001939069993995
6.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000096,28.00000000000474,28.0000000001722,28.000000004625658,28.000000091387864,28.000001321613713,28.000013942311366,28.000107324470978,28.000607182223142,28.002569204010257
7.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000036,28.000000000001517,28.000000000048423,28.000000001188546,28.00000002233788,28.00000032003968,28.0000034828589,28.000028746046258,28.00018037109556,28.000867736466102,28.003254027903125
8.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000014,28.000000000000462,28.000000000013333,28.000000000305004,28.000000005508483,28.00000007825801,28.00000087147053,28.000007589532746,28.000051694300925,28.00027642339827,28.00117086074204,28.003989002044282
9.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000135,28.000000000003627,28.000000000078362,28.00000000136932,28.00000001930031,28.000000218680682,28.000001986637844,28.000014454695602,28.00008433750564,28.00039642146955,28.001514665084922,28.004770505121083
10.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.00000000000004,28.000000000000984,28.000000000020194,28.000000000343004,28.00000000479749,28.000000055073254,28.000000517489706,28.0000039733138,28.00002492435184,28.000128001923642,28.00054091918447,28.001897422586588,28.005595560759744
11.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000014,28.000000000000266,28.000000000005226,28.000000000086583,28.000000001201578,28.000000013928467,28.00000013448416,28.000001079356597,28.000007193871554,28.000039839118582,28.00018380321947,28.00071020459954,28.002317563221307,28.006461666255568
12.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.000000000000075,28.00000000000136,28.000000000022034,28.000000000303256,28.00000000353958,28.000000034933958,28.000000290873928,28.000002040255044,28.00001205112067,28.00006000885391,28.000252670097797,28.000904381414102,28.00277365958096,28.007366678990223
13.0,28.0,28.0,28.0,28.0,28.0,28.0,28.00000000000002,28.00000000000036,28.000000000005656,28.00000000007715,28.000000000904443,28.000000009084452,28.000000077989014,28.000000571207647,28.000003565801336,28.00001897459529,28.00008619743218,28.00033537001371,28.001123424644813,28.00326441102535,28.008308737701164
14.0,28.0,28.0,28.0,28.0,28.0,28.000000000000004,28.000000000000096,28.00000000000147,28.000000000019803,28.00000000023257,28.000000002368257,28.00000002085293,28.000000158438038,28.00000103726751,28.00000584811836,28.000028408525537,28.000119114758633,28.000432533438794,28.001367219166855,28.00378862863941,28.00928620594073
15.0,28.0,28.0,28.0,28.0,28.0,28.00000000000003,28.000000000000384,28.00000000000514,28.000000000060258,28.000000000619796,28.000000005571692,28.000000043667715,28.00000029784541,28.000001766094865,28.000009101877584,28.000040801935995,28.00015941365436,28.000544675372737,28.001635586743607,28.004345221774514,28.010297630273342
16.0,28.0,28.0,28.0,28.0,28.000000000000004,28.000000000000103,28.000000000001354,28.00000000001576,28.0000000001631,28.000000001490488,28.00000001198949,28.00000008470736,28.0000005248518,28.000002849772144,28.000013560033903,28.00005660086843,28.00020768986705,28.00067221382031,28.00192830521312,28.004933186310005,28.011341708608597
17.0,28.0,28.0,28.0,28.0,28.00000000000003,28.00000000000036,28.000000000004174,28.000000000043247,28.000000000400007,28.000000003287013,28.000000023930486,28.00000015405149,28.00000087579298,28.000004394680676,28.000019469612724,28.000076242510026,28.000264483990975,28.000815485400302,28.002245122253388,28.00555159452674,28.012417265712482
18.0,28.0,28.0,28.0,28.000000000000004,28.000000000000096,28.000000000001123,28.00000000001159,28.000000000107953,28.00000000090198,28.000000006733654,28.000000044801094,28.000000265187868,28.000001395069763,28.00000652037968,28.00002708777416,28.00010015092982,28.00033028447624,28.000974758419375,28.002585765347728,28.00619958640464,28.01352323393034
19.0,28.0,28.0,28.0,28.00000000000003,28.000000000000313,28.00000000000315,28.00000000002939,28.000000000248395,28.00000000189226,28.00000001294744,28.000000079383433,28.0000004354553,28.000002135280614,28.000009358240476,28.000036678277297,28.00012873411979,28.00040553118916,28.001150243779577,28.002949949052017,28.006876362144737,28.01465863777641
20.0,28.0,28.0,28.000000000000004,28.00000000000009,28.000000000000878,28.000000000008104,28.00000000006888,28.00000000053261,28.000000003729184,28.000000023566074,28.000000134114995,28.00000068640509,28.000003157143947,28.0000130499481,28.000048508396002,28.00016238206517,28.000490619178837,28.00134210406816,28.003337380323064,28.007581175730813,28.015822581446447
21.0,28.0,28.0,28.00000000000003,28.000000000000256,28.000000000002284,28.000000000019323,28.000000000150692,28.000000001073833,28.000000006959272,28.00000004088895,28.000000217357933,28.00000104407213,28.000004529244304,28.00001774595878,28.00006284629138,28.00020146560932,28.000585902435567,28.001550461136677,28.00374776243878,28.00831332936922,28.01701423857672
22.0,28.0,28.000000000000007,28.000000000000078,28.00000000000067,28.000000000005528,28.000000000043062,28.000000000310298,28.000000002051117,28.000000012380035,28.000000068026626,28.000000339647627,28.000001539153565,28.00000632763926,28.00002360397822,28.000079958818265,28.000246335920338,28.0006916975126,28.001775402430514,28.004180797885848,28.009072168669462,28.01823284375523
23.0,28.000000000000004,28.00000000000003,28.00000000000021,28.000000000001638,28.000000000012527,28.00000000009043,28.0000000006057,28.000000003735163,28.000000021111532,28.000000109053836,28.000000513912802,28.000002207098625,28.00000863536238,28.0000307875065,28.000100109727786,28.000297324405278,28.00080828693967,28.002016986286645,28.004636190483726,28.009857078450533,28.019477685417428
24.0,28.000000000000032,28.000000000000075,28.000000000000515,28.000000000003766,28.00000000002679,28.00000000018014,28.00000000112749,28.000000006519617,28.000000034675146,28.000000169161193,28.000000755661656,28.0000030881166,28.000011541854306,28.000039464478796,28.000123558221695,28.00035474295065,28.000935922392852,28.00227524637922,28.00511364693993,28.01066747907688,28.020748099849055
25.0,28.00000000000007,28.000000000000192,28.0000000000012,28.000000000008182,28.000000000054385,28.000000000342315,28.000000002011724,28.000000010957503,28.00000005507779,28.00000025480115,28.000001083130986,28.000004227112555,28.000015142349447,28.000049806019295,28.000150557812635,28.000418884395092,28.00107482760845,28.00255019546053,28.005612877979,28.0115028232444,28.02204346608369
26.0,28.00000000000017,28.00000000000046,28.00000000000266,28.000000000016904,28.000000000105373,28.000000000623587,28.000000003455675,28.00000001780262,28.000000084899455,28.000000373824573,28.000001517397077,28.000005673561315,28.000019537241265,28.000061985316144,28.000181355446422,28.00049002316212,28.001225201042896,28.0028418285179,28.006133599150328,28.012362593149973,28.02336320153034
27.0,28.0000000000004,28.000000000001034,28.000000000005592,28.000000000033364,28.000000000195765,28.00000000109359,28.000000005736624,28.000000028055176,28.00000012738217,28.000000535604766,28.000002082448958,28.000007481330524,28.000024831444314,28.000076176618826,28.000216190845936,28.000568415997936,28.001387218288958,28.003150125445437,28.006675531393043,28.013246297989312,28.02470675820211
