time_s,mean_moisture,cumulative_loss_factor,effective_balance_residual
0.0,2.5499999999999914,0.0,-7.993605777301127e-15
1.0,2.549799183713762,4.024431982290894e-08,4.0531287748279965e-07
2.0,2.5495996944675863,8.014793192534554e-08,4.3412721373314866e-07
3.0,2.549401063278101,1.1987677310972082e-07,4.4714365010634083e-07
4.0,2.5492031228332874,1.5946642170057748e-07,4.5494179090610487e-07
5.0,2.549005776446301,1.9893676553190739e-07,4.602739611669904e-07
6.0,2.5488089588862106,2.383010655071909e-07,4.642137469978991e-07
7.0,2.5486126222691055,2.7756900164784467e-07,4.672773452618628e-07
8.0,2.548416729496956,3.167480501272704e-07,4.6974759326801063e-07
9.0,2.5482212507248705,3.5584421383822965e-07,4.7179406204023167e-07
10.0,2.548026161264787,3.9486245214999787e-07,4.7352553744772763e-07
11.0,2.54783144025082,4.3380695288270764e-07,4.7501523425808045e-07
12.0,2.54763706974404,4.7268131412959606e-07,4.7631468858000403e-07
13.0,2.547443034105572,5.114886711138697e-07,4.774611421787256e-07
14.0,2.5472493195435604,5.502317877859119e-07,4.784824905179619e-07
15.0,2.547055913775579,5.889131248647376e-07,4.793999033303464e-07
16.0,2.5468628057719354,6.275348915883967e-07,4.80229878085936e-07
17.0,2.5466699855562083,6.660990858627116e-07,4.809855225218485e-07
18.0,2.5464774440473597,7.046075259797739e-07,4.816772589677498e-07
19.0,2.5462851729334135,7.430618760361702e-07,4.823135948406332e-07
20.0,2.546093164568744,7.814636665718409e-07,4.82901603593433e-07
21.0,2.5459014118893784,8.198143115449754e-07,4.834471036829768e-07
22.0,2.545709908342747,8.58115122433989e-07,4.839549174739943e-07
23.0,2.545518647828996,8.963673200482838e-07,4.844292380568049e-07
24.0,2.545327624651004,9.345720445186986e-07,4.84873598161073e-07
25.0,2.545136833471944,9.727303638182782e-07,4.852910362451723e-07
26.0,2.5449462692787526,1.0108432810718668e-06,4.856841124833977e-07
27.0,2.544755927350785,1.0489117408655409e-06,4.860551130470014e-07
28.0,2.5445658032324387,1.086936634725125e-06,4.864060652032265e-07
29.0,2.544375892709184,1.1249188059081114e-06,4.867387253248978e-07
30.0,2.5441861917865523,1.1628590536122957e-06,4.870546144175592e-07
31.0,2.543996696671618,1.2007581366868192e-06,4.873550527584314e-07
32.0,2.5438074037566865,1.2386167769166933e-06,4.876412704746258e-07
33.0,2.5436183096046605,1.2764356619430927e-06,4.879143764568994e-07
34.0,2.5434294109359876,1.3142154478748583e-06,4.881753623564578e-07
35.0,2.5432407046169407,1.3519567616298955e-06,4.884250910386356e-07
36.0,2.5430521876491414,1.3896602030392201e-06,4.886643383272826e-07
37.0,2.542863857160072,1.4273263467439968e-06,4.88893792560674e-07
38.0,2.5426757103945463,1.4649557439108514e-06,4.891141012208777e-07
39.0,2.5424877447069507,1.5025489237867222e-06,4.893258851446092e-07
40.0,2.542299957554121,1.5401063951147227e-06,4.895296954465778e-07
41.0,2.542112346488876,1.5776286474270488e-06,4.897260121872193e-07
42.0,2.5419249091541567,1.615116152225786e-06,4.899152861170819e-07
43.0,2.54173764327759,1.6525693640638624e-06,4.900979102551162e-07
44.0,2.541550546666564,1.689988721537199e-06,4.902742505308311e-07
45.0,2.5413636172036553,1.7273746481975977e-06,4.904446440079369e-07
46.0,2.5411768528425056,1.764727553392422e-06,4.906094681622619e-07
47.0,2.540990251603812,1.802047833041288e-06,4.9076901875722e-07
48.0,2.5408038115717826,1.8393358703568328e-06,4.909235675754076e-07
49.0,2.5406175308908017,1.8765920365111665e-06,4.910733579777116e-07
50.0,2.5404314077623744,1.9138166912534656e-06,4.912186422068032e-07
51.0,2.5402454404422037,1.9510101834844485e-06,4.913596267641651e-07
52.0,2.540059627237548,1.988172851791727e-06,4.914965070490496e-07
53.0,2.5398739665047168,2.0253050249486014e-06,4.916294602530513e-07
54.0,2.539688456646841,2.0624070223779387e-06,4.917587315134142e-07
55.0,2.5395030961115133,2.099479154587867e-06,4.918844531687228e-07
56.0,2.5393178833888963,2.1365217235805766e-06,4.920067997460364e-07
57.0,2.539132817009769,2.173535023233104e-06,4.921259351142737e-07
58.0,2.5389478955436915,2.21051933965648e-06,4.922419742925399e-07
59.0,2.5387631175973895,2.2474749515323894e-06,4.923550518398656e-07
60.0,2.5385784818131985,2.284402130428451e-06,4.924653413951319e-07
61.0,2.5383939869463794,2.32130112537811e-06,4.925732706162478e-07
62.0,2.538209631782122,2.358172179280456e-06,4.926785246439636e-07
63.0,2.5380254150570645,2.3950155448334038e-06,4.9278123226415e-07
64.0,2.537841335538318,2.4318314686424584e-06,4.928815307003731e-07
65.0,2.537657392022055,2.4686201914921927e-06,4.929795167640805e-07
66.0,2.537473583332357,2.5053819485816697e-06,4.930752659504378e-07
