time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
0.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
1.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.519806477863617
2.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999764,2.5074245349409576
3.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999356556,2.497973113105951
4.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999615096414,2.4900384607511303
5.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499995203480634,2.483073018165105
6.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499973088054486,2.476795978745334
7.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999834,2.549990496507921,2.471040538836385
8.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999995313,2.549974979169144,2.4656980210918316
9.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999993587,2.5499459865549974,2.460692942778078
10.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999946955,2.549898721092639,2.455970346192947
11.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999696715,2.549828823406717,2.451488745395773
12.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999998688703,2.5497326314921294,2.4472159104652778
13.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999954321613,2.549607275298933,2.4431262125689304
14.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999998,2.5499999865865335,2.549450665107304,2.439198871436351
15.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999936,2.549999965661351,2.549261419938927,2.4354167634168524
16.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999607,2.5499999214066404,2.5490387705606867,2.4317655770405326
17.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.54999999999982,2.5499998360288707,2.5487824557470966,2.4282332072488306
18.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999285,2.5499996834093928,2.5484926240593015,2.4248093073839576
19.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999997534,2.549999427495112,2.5481697460029196,2.4214849496655866
20.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999924507,2.5499990209910632,2.547814538346991,2.418252367293246
21.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999791436,2.5499984044545427,2.5474279011788115,2.415104754348563
22.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999472487,2.5499975058315916,2.5470108662046704,2.4120361067781375
23.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999876586,2.5499962404026997,2.546564554451228,2.409041095008715
24.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.5499999997302814,2.5499945111669597,2.5460901434069374,2.4061149637931347
25.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999999,2.5499999994449603,2.5499922095490386,2.545588840640893,2.403253448654315
26.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999954,2.5499999989169853,2.549989216401085,2.5450618635415956,2.4004527080442664
27.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999987,2.549999997984833,2.549985403185671,2.544510423272579,2.3977092661650006
28.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999656,2.5499999964066506,2.549980633325579,2.5439357130593048,2.395019966283031
29.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999132,2.5499999938328046,2.549974763637666,2.5433388996076896,2.39238193159025
30.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999997955,2.549999989773842,2.5499676457772646,2.542721116629915,2.389792531432787
31.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999543,2.5499999835637523,2.54995912766221,2.542083460401841,2.3872493528826486
32.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999999024,2.5499999743199835,2.5499490548567065,2.541426986623123,2.3847501758516145
33.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.549999999998009,2.549999960899332,2.5499372718780045,2.5407527088082418,2.382292952448292
34.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999961003,2.549999941851311,2.549923623402785,2.5400615975237075,2.3798757890224116
35.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999926386,2.5499999153700474,2.5499079553622,2.5393545802160697,2.377496930357241
36.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999865675,2.549999879245694,2.549890115922423,2.538632541538213,2.375154745808345
37.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999762415,2.5499998308161276,2.5498699563492098,2.5378963241303594,2.3728477172887352
38.0,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.5499999999999994,2.5499999999591685,2.5499997669198162,2.549847331772554,2.5371467296695354,2.3705744285680725
