time_s,mean_moisture,cumulative_loss_trapezoid,B_trapezoid_signed,B_trapezoid_abs,q2_mass_balance_residual,cumulative_loss_gl4,B_gl4_signed,B_gl4_abs,cumulative_loss_gl8,B_gl8_signed,B_gl8_abs,cumulative_loss_gl16,B_gl16_signed,B_gl16_abs,cumulative_loss_gl32,B_gl32_signed,B_gl32_abs
0,2.5500000000000003,0.0,-7.993605777301127e-15,7.993605777301127e-15,-7.993605777301127e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.5497991837137683,4.024431982290894e-08,4.0531287748279965e-07,4.0531287748279965e-07,4.0531287748279965e-07,4.01632572371368e-08,-4.618527782440651e-14,4.618527782440651e-14,4.01632572371368e-08,-4.618527782440651e-14,4.618527782440651e-14,4.01632572371368e-08,-4.618527782440651e-14,4.618527782440651e-14,4.0163257237136806e-08,-4.618527782440651e-14,4.618527782440651e-14
2,2.5495996944675925,8.014793192534554e-08,4.3412721373314866e-07,4.3412721373314866e-07,4.3412721373314866e-07,8.006110645184346e-08,-1.4876988529977098e-13,1.4876988529977098e-13,8.006110645184346e-08,-1.4876988529977098e-13,1.4876988529977098e-13,8.006110645184346e-08,-1.4876988529977098e-13,1.4876988529977098e-13,8.006110645184348e-08,-1.4876988529977098e-13,1.4876988529977098e-13
3,2.5494010632781063,1.1987677310972082e-07,4.4714365010634083e-07,4.4714365010634083e-07,4.4714365010634083e-07,1.19787344328346e-07,-2.5224267119483557e-13,2.5224267119483557e-13,1.19787344328346e-07,-2.5224267119483557e-13,2.5224267119483557e-13,1.19787344328346e-07,-2.5224267119483557e-13,2.5224267119483557e-13,1.1978734432834604e-07,-2.5224267119483557e-13,2.5224267119483557e-13
4,2.5492031228332923,1.5946642170057748e-07,4.5494179090610487e-07,4.5494179090610487e-07,4.5494179090610487e-07,1.5937543327346768e-07,-3.4061642395499803e-13,3.4061642395499803e-13,1.5937543327346768e-07,-3.4061642395499803e-13,3.4061642395499803e-13,1.5937543327346768e-07,-3.4061642395499803e-13,3.4061642395499803e-13,1.593754332734677e-07,-3.4061642395499803e-13,3.4061642395499803e-13
5,2.5490057764463074,1.9893676553190739e-07,4.602739611669904e-07,4.602739611669904e-07,4.602739611669904e-07,1.9884471065205058e-07,-4.32542890393961e-13,4.32542890393961e-13,1.9884471065205058e-07,-4.32542890393961e-13,4.32542890393961e-13,1.9884471065205058e-07,-4.32542890393961e-13,4.32542890393961e-13,1.988447106520506e-07,-4.32542890393961e-13,4.32542890393961e-13
6,2.5488089588862173,2.383010655071909e-07,4.642137469978991e-07,4.642137469978991e-07,4.642137469978991e-07,2.3820822265072864e-07,-5.293543381412746e-13,5.293543381412746e-13,2.382082226507286e-07,-5.293543381412746e-13,5.293543381412746e-13,2.3820822265072864e-07,-5.293543381412746e-13,5.293543381412746e-13,2.3820822265072866e-07,-5.293543381412746e-13,5.293543381412746e-13
7,2.5486126222691117,2.7756900164784467e-07,4.672773452618628e-07,4.672773452618628e-07,4.672773452618628e-07,2.7747554605295206e-07,-6.23945339839338e-13,6.23945339839338e-13,2.7747554605295206e-07,-6.23945339839338e-13,6.23945339839338e-13,2.7747554605295206e-07,-6.23945339839338e-13,6.23945339839338e-13,2.774755460529521e-07,-6.23945339839338e-13,6.23945339839338e-13
8,2.5484167294969624,3.167480501272704e-07,4.6974759326801063e-07,4.6974759326801063e-07,4.6974759326801063e-07,3.166541004680483e-07,-6.976641486744484e-13,6.976641486744484e-13,3.166541004680483e-07,-6.976641486744484e-13,6.976641486744484e-13,3.166541004680483e-07,-6.976641486744484e-13,6.976641486744484e-13,3.1665410046804835e-07,-6.976641486744484e-13,6.976641486744484e-13
9,2.548221250724876,3.5584421383822965e-07,4.7179406204023167e-07,4.7179406204023167e-07,4.7179406204023167e-07,3.5574985486567534e-07,-7.962519532611623e-13,7.962519532611623e-13,3.5574985486567534e-07,-7.962519532611623e-13,7.962519532611623e-13,3.5574985486567534e-07,-7.962519532611623e-13,7.962519532611623e-13,3.557498548656754e-07,-7.962519532611623e-13,7.962519532611623e-13
10,2.5480261612647936,3.9486245214999787e-07,4.7352553744772763e-07,4.7352553744772763e-07,4.7352553744772763e-07,3.9476774686717016e-07,-8.708589405159728e-13,8.708589405159728e-13,3.9476774686717016e-07,-8.708589405159728e-13,8.708589405159728e-13,3.9476774686717016e-07,-8.708589405159728e-13,8.708589405159728e-13,3.947677468671702e-07,-8.708589405159728e-13,8.708589405159728e-13
11,2.547831440250826,4.3380695288270764e-07,4.7501523425808045e-07,4.7501523425808045e-07,4.7501523425808045e-07,4.3371194964117987e-07,-9.685585666829866e-13,9.685585666829866e-13,4.337119496411798e-07,-9.685585666829866e-13,9.685585666829866e-13,4.3371194964117987e-07,-9.685585666829866e-13,9.685585666829866e-13,4.3371194964117997e-07,-9.685585666829866e-13,9.685585666829866e-13
12,2.547637069744046,4.7268131412959606e-07,4.7631468858000403e-07,4.7631468858000403e-07,4.7631468858000403e-07,4.7258605098299406e-07,-1.0391687510491465e-12,1.0391687510491465e-12,4.72586050982994e-07,-1.0391687510491465e-12,1.0391687510491465e-12,4.7258605098299406e-07,-1.0391687510491465e-12,1.0391687510491465e-12,4.7258605098299417e-07,-1.0391687510491465e-12,1.0391687510491465e-12
13,2.5474430341055783,5.114886711138697e-07,4.774611421787256e-07,4.774611421787256e-07,4.774611421787256e-07,5.113931786563878e-07,-1.1399770016851107e-12,1.1399770016851107e-12,5.113931786563877e-07,-1.1399770016851107e-12,1.1399770016851107e-12,5.113931786563878e-07,-1.1399770016851107e-12,1.1399770016851107e-12,5.113931786563879e-07,-1.1399770016851107e-12,1.1399770016851107e-12
14,2.5472493195435666,5.502317877859119e-07,4.784824905179619e-07,4.784824905179619e-07,4.784824905179619e-07,5.501360910451788e-07,-1.2079226507921703e-12,1.2079226507921703e-12,5.501360910451787e-07,-1.2079226507921703e-12,1.2079226507921703e-12,5.501360910451788e-07,-1.2079226507921703e-12,1.2079226507921703e-12,5.501360910451789e-07,-1.2079226507921703e-12,1.2079226507921703e-12
15,2.547055913775585,5.889131248647376e-07,4.793999033303464e-07,4.793999033303464e-07,4.793999033303464e-07,5.888172446237713e-07,-1.2967404927621828e-12,1.2967404927621828e-12,5.888172446237712e-07,-1.2967404927621828e-12,1.2967404927621828e-12,5.888172446237713e-07,-1.2967404927621828e-12,1.2967404927621828e-12,5.888172446237714e-07,-1.2967404927621828e-12,1.2967404927621828e-12
16,2.546862805771941,6.275348915883967e-07,4.80229878085936e-07,4.80229878085936e-07,4.80229878085936e-07,6.274388453333643e-07,-1.3922196728799463e-12,1.3922196728799463e-12,6.274388453333642e-07,-1.3922196728799463e-12,1.3922196728799463e-12,6.274388453333643e-07,-1.3922196728799463e-12,1.3922196728799463e-12,6.274388453333644e-07,-1.3922196728799463e-12,1.3922196728799463e-12
17,2.546669985556214,6.660990858627116e-07,4.809855225218485e-07,4.809855225218485e-07,4.809855225218485e-07,6.660028884668353e-07,-1.4521717162097048e-12,1.4521717162097048e-12,6.660028884668352e-07,-1.4521717162097048e-12,1.4521717162097048e-12,6.660028884668353e-07,-1.4521717162097048e-12,1.4521717162097048e-12,6.660028884668354e-07,-1.4521717162097048e-12,1.4521717162097048e-12
18,2.546477444047364,7.046075259797739e-07,4.816772589677498e-07,4.816772589677498e-07,4.816772589677498e-07,7.045111902208028e-07,-1.532107773982716e-12,1.532107773982716e-12,7.045111902208027e-07,-1.532107773982716e-12,1.532107773982716e-12,7.045111902208028e-07,-1.532107773982716e-12,1.532107773982716e-12,7.045111902208029e-07,-1.532107773982716e-12,1.532107773982716e-12
19,2.5462851729334184,7.430618760361702e-07,4.823135948406332e-07,4.823135948406332e-07,4.823135948406332e-07,7.429654129896176e-07,-1.6338042030383804e-12,1.6338042030383804e-12,7.429654129896175e-07,-1.6338042030383804e-12,1.6338042030383804e-12,7.429654129896176e-07,-1.6338042030383804e-12,1.6338042030383804e-12,7.429654129896177e-07,-1.6338042030383804e-12,1.6338042030383804e-12
20,2.5460931645687497,7.814636665718409e-07,4.82901603593433e-07,4.82901603593433e-07,4.82901603593433e-07,7.813670859088524e-07,-1.7061907442439406e-12,1.7061907442439406e-12,7.813670859088522e-07,-1.7061907442439406e-12,1.7061907442439406e-12,7.813670859088524e-07,-1.7061907442439406e-12,1.7061907442439406e-12,7.813670859088525e-07,-1.7061907442439406e-12,1.7061907442439406e-12
21,2.5459014118893832,8.198143115449754e-07,4.834471036829768e-07,4.834471036829768e-07,4.834471036829768e-07,8.19717621771039e-07,-1.7617018954751984e-12,1.7617018954751984e-12,8.197176217710389e-07,-1.7617018954751984e-12,1.7617018954751984e-12,8.19717621771039e-07,-1.7617018954751984e-12,1.7617018954751984e-12,8.197176217710391e-07,-1.7617018954751984e-12,1.7617018954751984e-12
22,2.545709908342751,8.58115122433989e-07,4.839549174739943e-07,4.839549174739943e-07,4.839549174739943e-07,8.580183310773334e-07,-1.8629542353210127e-12,1.8629542353210127e-12,8.580183310773332e-07,-1.8629542353210127e-12,1.8629542353210127e-12,8.580183310773334e-07,-1.8629542353210127e-12,1.8629542353210127e-12,8.580183310773335e-07,-1.8629542353210127e-12,1.8629542353210127e-12
23,2.545518647829,8.963673200482838e-07,4.844292380568049e-07,4.844292380568049e-07,4.844292380568049e-07,8.962704338100642e-07,-1.949995720451625e-12,1.949995720451625e-12,8.962704338100641e-07,-1.949995720451625e-12,1.949995720451625e-12,8.962704338100642e-07,-1.949995720451625e-12,1.949995720451625e-12,8.962704338100643e-07,-1.949995720451625e-12,1.949995720451625e-12
24,2.5453276246510077,9.345720445186986e-07,4.84873598161073e-07,4.84873598161073e-07,4.84873598161073e-07,9.344750693938183e-07,-2.0232704400768853e-12,2.0232704400768853e-12,9.344750693938182e-07,-2.0232704400768853e-12,2.0232704400768853e-12,9.344750693938183e-07,-2.0232704400768853e-12,2.0232704400768853e-12,9.344750693938184e-07,-2.0232704400768853e-12,2.0232704400768853e-12
25,2.5451368334719495,9.727303638182782e-07,4.852910362451723e-07,4.852910362451723e-07,4.852910362451723e-07,9.726333051956521e-07,-2.0725643423702422e-12,2.0725643423702422e-12,9.72633305195652e-07,-2.0725643423702422e-12,2.0725643423702422e-12,9.726333051956521e-07,-2.0725643423702422e-12,2.0725643423702422e-12,9.726333051956521e-07,-2.0725643423702422e-12,2.0725643423702422e-12
26,2.544946269278758,1.0108432810718668e-06,4.856841124833977e-07,4.856841124833977e-07,4.856841124833977e-07,1.0107461438173482e-06,-2.155609024612204e-12,2.155609024612204e-12,1.010746143817348e-06,-2.155609024612204e-12,2.155609024612204e-12,1.0107461438173482e-06,-2.155609024612204e-12,2.155609024612204e-12,1.0107461438173482e-06,-2.155609024612204e-12,2.155609024612204e-12
27,2.544755927350789,1.0489117408655409e-06,4.860551130470014e-07,4.860551130470014e-07,4.860551130470014e-07,1.0488145293903394e-06,-2.2595258997171186e-12,2.2595258997171186e-12,1.0488145293903391e-06,-2.2595258997171186e-12,2.2595258997171186e-12,1.0488145293903394e-06,-2.2595258997171186e-12,2.2595258997171186e-12,1.0488145293903394e-06,-2.2595258997171186e-12,2.2595258997171186e-12
28,2.5445658032324445,1.086936634725125e-06,4.864060652032265e-07,4.864060652032265e-07,4.864060652032265e-07,1.0868393530424008e-06,-2.3439028495886305e-12,2.3439028495886305e-12,1.0868393530424006e-06,-2.3439028495886305e-12,2.3439028495886305e-12,1.0868393530424008e-06,-2.3439028495886305e-12,2.3439028495886305e-12,1.0868393530424008e-06,-2.3439028495886305e-12,2.3439028495886305e-12
29,2.5443758927091875,1.1249188059081114e-06,4.867387253248978e-07,4.867387253248978e-07,4.867387253248978e-07,1.124821457681807e-06,-2.403854892918389e-12,2.403854892918389e-12,1.1248214576818067e-06,-2.403854892918389e-12,2.403854892918389e-12,1.124821457681807e-06,-2.403854892918389e-12,2.403854892918389e-12,1.124821457681807e-06,-2.403854892918389e-12,2.403854892918389e-12
30,2.544186191786557,1.1628590536122957e-06,4.870546144175592e-07,4.870546144175592e-07,4.870546144175592e-07,1.1627616421987464e-06,-2.4495960815329454e-12,2.4495960815329454e-12,1.1627616421987462e-06,-2.4495960815329454e-12,2.4495960815329454e-12,1.1627616421987464e-06,-2.4495960815329454e-12,2.4495960815329454e-12,1.1627616421987464e-06,-2.4495960815329454e-12,2.4495960815329454e-12
31,2.543996696671623,1.2007581366868192e-06,4.873550527584314e-07,4.873550527584314e-07,4.873550527584314e-07,1.2006606651696528e-06,-2.5290880500961066e-12,2.5290880500961066e-12,1.2006606651696526e-06,-2.5290880500961066e-12,2.5290880500961066e-12,1.2006606651696528e-06,-2.5290880500961066e-12,2.5290880500961066e-12,1.2006606651696528e-06,-2.5290880500961066e-12,2.5290880500961066e-12
32,2.5438074037566905,1.2386167769166933e-06,4.876412704746258e-07,4.876412704746258e-07,4.876412704746258e-07,1.2385192481365091e-06,-2.6272317654729704e-12,2.6272317654729704e-12,1.238519248136509e-06,-2.6272317654729704e-12,2.6272317654729704e-12,1.2385192481365091e-06,-2.6272317654729704e-12,2.6272317654729704e-12,1.2385192481365091e-06,-2.6272317654729704e-12,2.6272317654729704e-12
33,2.5436183096046663,1.2764356619430927e-06,4.879143764568994e-07,4.879143764568994e-07,4.879143764568994e-07,1.276338078523287e-06,-2.717381875072533e-12,2.717381875072533e-12,1.2763380785232868e-06,-2.717381875072533e-12,2.717381875072533e-12,1.276338078523287e-06,-2.717381875072533e-12,2.717381875072533e-12,1.276338078523287e-06,-2.717381875072533e-12,2.717381875072533e-12
34,2.543429410935992,1.3142154478748583e-06,4.881753623564578e-07,4.881753623564578e-07,4.881753623564578e-07,1.3141178122442192e-06,-2.787103881018993e-12,2.787103881018993e-12,1.314117812244219e-06,-2.787103881018993e-12,2.787103881018993e-12,1.3141178122442192e-06,-2.787103881018993e-12,2.787103881018993e-12,1.3141178122442192e-06,-2.787103881018993e-12,2.787103881018993e-12
35,2.543240704616945,1.3519567616298955e-06,4.884250910386356e-07,4.884250910386356e-07,4.884250910386356e-07,1.3518590760424452e-06,-2.843059121460101e-12,2.843059121460101e-12,1.351859076042445e-06,-2.843059121460101e-12,2.843059121460101e-12,1.3518590760424452e-06,-2.843059121460101e-12,2.843059121460101e-12,1.3518590760424452e-06,-2.843059121460101e-12,2.843059121460101e-12
36,2.5430521876491468,1.3896602030392201e-06,4.886643383272826e-07,4.886643383272826e-07,4.886643383272826e-07,1.3895624695912694e-06,-2.8972380050618085e-12,2.8972380050618085e-12,1.3895624695912691e-06,-2.8972380050618085e-12,2.8972380050618085e-12,1.3895624695912694e-06,-2.8972380050618085e-12,2.8972380050618085e-12,1.3895624695912694e-06,-2.8972380050618085e-12,2.8972380050618085e-12
37,2.5428638571600772,1.4273263467439968e-06,4.88893792560674e-07,4.88893792560674e-07,4.88893792560674e-07,1.4272285673897796e-06,-2.9740654383658693e-12,2.9740654383658693e-12,1.4272285673897794e-06,-2.9740654383658693e-12,2.9740654383658693e-12,1.4272285673897796e-06,-2.9740654383658693e-12,2.9740654383658693e-12,1.4272285673897796e-06,-2.9740654383658693e-12,2.9740654383658693e-12
38,2.5426757103945503,1.4649557439108514e-06,4.891141012208777e-07,4.891141012208777e-07,4.891141012208777e-07,1.4648579204748066e-06,-3.0757618674215337e-12,3.0757618674215337e-12,1.4648579204748064e-06,-3.0757618674215337e-12,3.0757618674215337e-12,1.4648579204748066e-06,-3.0757618674215337e-12,3.0757618674215337e-12,1.4648579204748066e-06,-3.0757618674215337e-12,3.0757618674215337e-12
39,2.5424877447069547,1.5025489237867222e-06,4.893258851446092e-07,4.893258851446092e-07,4.893258851446092e-07,1.502451057975016e-06,-3.170352869119597e-12,3.170352869119597e-12,1.5024510579750158e-06,-3.170352869119597e-12,3.170352869119597e-12,1.502451057975016e-06,-3.170352869119597e-12,3.170352869119597e-12,1.502451057975016e-06,-3.170352869119597e-12,3.170352869119597e-12
40,2.5422999575541247,1.5401063951147227e-06,4.895296954465778e-07,4.895296954465778e-07,4.895296954465778e-07,1.5400084885263642e-06,-3.2436275887448573e-12,3.2436275887448573e-12,1.540008488526364e-06,-3.2436275887448573e-12,3.2436275887448573e-12,1.5400084885263642e-06,-3.2436275887448573e-12,3.2436275887448573e-12,1.5400084885263642e-06,-3.2436275887448573e-12,3.2436275887448573e-12
41,2.5421123464888837,1.5776286474270488e-06,4.897260121872193e-07,4.897260121872193e-07,4.897260121872193e-07,1.5775307015630821e-06,-3.3009150968155154e-12,3.3009150968155154e-12,1.577530701563082e-06,-3.3009150968155154e-12,3.3009150968155154e-12,1.5775307015630821e-06,-3.3009150968155154e-12,3.3009150968155154e-12,1.5775307015630821e-06,-3.3009150968155154e-12,3.3009150968155154e-12
42,2.541924909154162,1.615116152225786e-06,4.899152861170819e-07,4.899152861170819e-07,4.899152861170819e-07,1.615018168497391e-06,-3.3510971775285725e-12,3.3510971775285725e-12,1.6150181684973907e-06,-3.3510971775285725e-12,3.3510971775285725e-12,1.615018168497391e-06,-3.3510971775285725e-12,3.3510971775285725e-12,1.615018168497391e-06,-3.3510971775285725e-12,3.3510971775285725e-12
43,2.5417376432775933,1.6525693640638624e-06,4.900979102551162e-07,4.900979102551162e-07,4.900979102551162e-07,1.652471343799524e-06,-3.4092728640189307e-12,3.4092728640189307e-12,1.6524713437995237e-06,-3.4092728640189307e-12,3.4092728640189307e-12,1.652471343799524e-06,-3.4092728640189307e-12,3.4092728640189307e-12,1.652471343799524e-06,-3.4092728640189307e-12,3.4092728640189307e-12
44,2.5415505466665675,1.689988721537199e-06,4.902742505308311e-07,4.902742505308311e-07,4.902742505308311e-07,1.6898906659901763e-06,-3.481659405224491e-12,3.481659405224491e-12,1.689890665990176e-06,-3.481659405224491e-12,3.481659405224491e-12,1.6898906659901763e-06,-3.481659405224491e-12,3.481659405224491e-12,1.6898906659901763e-06,-3.481659405224491e-12,3.481659405224491e-12
45,2.54136361720366,1.7273746481975977e-06,4.904446440079369e-07,4.904446440079369e-07,4.904446440079369e-07,1.7272765585503968e-06,-3.588240815588506e-12,3.588240815588506e-12,1.7272765585503966e-06,-3.588240815588506e-12,3.588240815588506e-12,1.7272765585503968e-06,-3.588240815588506e-12,3.588240815588506e-12,1.7272765585503968e-06,-3.588240815588506e-12,3.588240815588506e-12
46,2.54117685284251,1.764727553392422e-06,4.906094681622619e-07,4.906094681622619e-07,4.906094681622619e-07,1.7646294307624396e-06,-3.6779468359782186e-12,3.6779468359782186e-12,1.7646294307624394e-06,-3.6779468359782186e-12,3.6779468359782186e-12,1.7646294307624396e-06,-3.6779468359782186e-12,3.6779468359782186e-12,1.7646294307624396e-06,-3.6779468359782186e-12,3.6779468359782186e-12
47,2.540990251603817,1.802047833041288e-06,4.9076901875722e-07,4.9076901875722e-07,4.9076901875722e-07,1.8019496784869398e-06,-3.7485570203443785e-12,3.7485570203443785e-12,1.8019496784869396e-06,-3.7485570203443785e-12,3.7485570203443785e-12,1.8019496784869398e-06,-3.7485570203443785e-12,3.7485570203443785e-12,1.8019496784869398e-06,-3.7485570203443785e-12,3.7485570203443785e-12
48,2.5408038115717866,1.8393358703568328e-06,4.909235675754076e-07,4.909235675754076e-07,4.909235675754076e-07,1.8392376848811368e-06,-3.808064974464287e-12,3.808064974464287e-12,1.8392376848811366e-06,-3.808064974464287e-12,3.808064974464287e-12,1.8392376848811368e-06,-3.808064974464287e-12,3.808064974464287e-12,1.8392376848811368e-06,-3.808064974464287e-12,3.808064974464287e-12
49,2.540617530890805,1.8765920365111665e-06,4.910733579777116e-07,4.910733579777116e-07,4.910733579777116e-07,1.8764938210652854e-06,-3.8684611070038954e-12,3.8684611070038954e-12,1.8764938210652852e-06,-3.8684611070038954e-12,3.8684611070038954e-12,1.8764938210652854e-06,-3.8684611070038954e-12,3.8684611070038954e-12,1.8764938210652854e-06,-3.8684611070038954e-12,3.8684611070038954e-12
50,2.540431407762378,1.9138166912534656e-06,4.912186422068032e-07,4.912186422068032e-07,4.912186422068032e-07,1.9137184467404997e-06,-3.919975455346503e-12,3.919975455346503e-12,1.9137184467404997e-06,-3.919975455346503e-12,3.919975455346503e-12,1.9137184467404997e-06,-3.919975455346503e-12,3.919975455346503e-12,1.9137184467404997e-06,-3.919975455346503e-12,3.919975455346503e-12
51,2.540245440442207,1.9510101834844485e-06,4.913596267641651e-07,4.913596267641651e-07,4.913596267641651e-07,1.9509119107631814e-06,-3.977707052627011e-12,3.977707052627011e-12,1.9509119107631814e-06,-3.977707052627011e-12,3.977707052627011e-12,1.9509119107631814e-06,-3.977707052627011e-12,3.977707052627011e-12,1.9509119107631814e-06,-3.977707052627011e-12,3.977707052627011e-12
52,2.5400596272375506,1.988172851791727e-06,4.914965070490496e-07,4.914965070490496e-07,4.914965070490496e-07,1.9880745516802367e-06,-4.048317236993171e-12,4.048317236993171e-12,1.9880745516802367e-06,-4.048317236993171e-12,4.048317236993171e-12,1.9880745516802367e-06,-4.048317236993171e-12,4.048317236993171e-12,1.9880745516802367e-06,-4.048317236993171e-12,4.048317236993171e-12
53,2.539873966504721,2.0253050249486014e-06,4.916294602530513e-07,4.916294602530513e-07,4.916294602530513e-07,2.0252066982250673e-06,-4.153566379727636e-12,4.153566379727636e-12,2.0252066982250673e-06,-4.153566379727636e-12,4.153566379727636e-12,2.0252066982250673e-06,-4.153566379727636e-12,4.153566379727636e-12,2.0252066982250673e-06,-4.153566379727636e-12,4.153566379727636e-12
54,2.539688456646844,2.0624070223779387e-06,4.917587315134142e-07,4.917587315134142e-07,4.917587315134142e-07,2.062308669784736e-06,-4.232614259080947e-12,4.232614259080947e-12,2.062308669784736e-06,-4.232614259080947e-12,4.232614259080947e-12,2.062308669784736e-06,-4.232614259080947e-12,4.232614259080947e-12,2.062308669784736e-06,-4.232614259080947e-12,4.232614259080947e-12
