case,n_intervals,plateau_temperature_C,plateau_moisture_kg_per_kg,time_s,time_h,delta_time_s_vs_nominal_same_n,delta_percent_vs_nominal_same_n,status,mass_balance_max_relative,event_bracket_width_s,monotonicity_max_positive_neighbor_jump
nominal,2560,50.0,0.05,206897.02282643443,57.47139522956512,0.0,0.0,PASSED,3.8522946262136756e-07,0.6681898901879322,2.220446049250313e-15
temperature_49,2560,49.0,0.05,213618.58699989447,59.338496388859575,6721.564173460036,3.2487486197898288,PASSED,4.924117516350519e-07,0.5994006757391617,2.220446049250313e-15
temperature_51,2560,51.0,0.05,200469.3211024317,55.685922528453254,-6427.70172400272,-3.106715425960918,PASSED,4.1400060042471845e-07,0.6583109067578334,2.220446049250313e-15
moisture_0045,2560,50.0,0.045,206564.47663996302,57.37902128887862,-332.54618647141615,-0.1607302908125404,PASSED,5.125517265515988e-07,0.6288663220766466,2.220446049250313e-15
moisture_0055,2560,50.0,0.055,207295.40246367775,57.582056239910486,398.3796372433135,0.1925497195662953,PASSED,5.315319187843119e-07,0.6557849271048326,2.220446049250313e-15
nominal,5120,50.0,0.05,206899.43937557944,57.47206649321651,0.0,0.0,PASSED,3.848228484454865e-07,0.7059630957373884,2.220446049250313e-15
temperature_49,5120,49.0,0.05,213621.22883617855,59.33923023227182,6721.789460599102,3.2488195622401874,PASSED,4.928727775366022e-07,0.764527136401739,2.220446049250313e-15
temperature_51,5120,51.0,0.05,200471.5300878654,55.68653613551817,-6427.90928771405,-3.1067794611302086,PASSED,4.144325336067499e-07,0.9345132834569085,2.220446049250313e-15
moisture_0045,5120,50.0,0.045,206569.58998138283,57.38044166149523,-329.8493941966153,-0.15942498210343037,PASSED,5.131315217612629e-07,0.9484468239243142,2.220446049250313e-15
moisture_0055,5120,50.0,0.055,207296.53343010254,57.582370397250706,397.09405452309875,0.19192611431018125,PASSED,5.319360784530066e-07,0.6911689797707368,2.220446049250313e-15
