time_s,time_h,D_center_m2_s,D_half_radius_m2_s,D_surface_m2_s
0.0,0.0,5.641680373025664e-09,5.641680373025664e-09,5.641680373025664e-09
60.0,0.016666666666666666,5.64168038031862e-09,5.64171682883842e-09,5.560801630396106e-09
120.0,0.03333333333333333,5.641694894030432e-09,5.642667702937066e-09,5.548010959996241e-09
180.0,0.05,5.641958416892968e-09,5.6462470937145464e-09,5.548918740239543e-09
240.0,0.06666666666666667,5.64318026445497e-09,5.653350768971101e-09,5.554149514842471e-09
300.0,0.08333333333333333,5.64624916468124e-09,5.66383297587546e-09,5.574949615916254e-09
360.0,0.1,5.6517875735965785e-09,5.677984178497638e-09,5.599572761109055e-09
420.0,0.11666666666666667,5.660218676683236e-09,5.696274751390071e-09,5.628131298516756e-09
480.0,0.13333333333333333,5.6719755840009596e-09,5.7183806355616386e-09,5.65518809910159e-09
540.0,0.15,5.687284693535949e-09,5.743820313936156e-09,5.690130139085871e-09
600.0,0.16666666666666666,5.706128114527036e-09,5.772396790281844e-09,5.728743309828504e-09
660.0,0.18333333333333332,5.7283702597508065e-09,5.804386408545566e-09,5.775616691873743e-09
720.0,0.2,5.7539876077827835e-09,5.83999919007516e-09,5.82173608069225e-09
780.0,0.21666666666666667,5.783045560712182e-09,5.879218382584889e-09,5.871566057403632e-09
840.0,0.23333333333333334,5.815621588556011e-09,5.921667963336716e-09,5.920037012035899e-09
900.0,0.25,5.8516544581947335e-09,5.9670513896514614e-09,5.969000736534558e-09
960.0,0.26666666666666666,5.890994540747196e-09,6.014891191139098e-09,6.025060967684567e-09
1020.0,0.2833333333333333,5.93338771924507e-09,6.065316044750028e-09,6.07797151730297e-09
1080.0,0.3,5.978648475719008e-09,6.1182749087577984e-09,6.141892082500339e-09
1140.0,0.31666666666666665,6.0266847109762595e-09,6.173880104460928e-09,6.204888116856908e-09
1200.0,0.3333333333333333,6.077444062097438e-09,6.232466855966745e-09,6.269615922245396e-09
1260.0,0.35,6.131019987076709e-09,6.293629597687789e-09,6.330857906584532e-09
1320.0,0.36666666666666664,6.187395456354066e-09,6.356957615653814e-09,6.401648219454709e-09
1380.0,0.38333333333333336,6.2464198146138065e-09,6.422508226824054e-09,6.4723530147706424e-09
1440.0,0.4,6.307948128549933e-09,6.49062328825598e-09,6.541269121588109e-09
1500.0,0.4166666666666667,6.372005330992486e-09,6.5607961582798765e-09,6.6038589460732236e-09
1560.0,0.43333333333333335,6.438511658643589e-09,6.632268030478825e-09,6.67299290748159e-09
1620.0,0.45,6.507171103236414e-09,6.704846050752676e-09,6.7386964717229946e-09
1680.0,0.4666666666666667,6.5776412459621195e-09,6.778633473500541e-09,6.8077126768804465e-09
1740.0,0.48333333333333334,6.6497338324197405e-09,6.853464957021212e-09,6.886111954425694e-09
1800.0,0.5,6.723292242785669e-09,6.930048214035581e-09,6.96453966037282e-09
1860.0,0.5166666666666667,6.79838396864782e-09,7.008760525243356e-09,7.044648082297151e-09
1920.0,0.5333333333333333,6.87524824618794e-09,7.089370316665505e-09,7.114240672858258e-09
1980.0,0.55,6.954009953858522e-09,7.171059411371433e-09,7.1857290652186495e-09
2040.0,0.5666666666666667,7.034524376868553e-09,7.2530968637979805e-09,7.26102727843729e-09
2100.0,0.5833333333333334,7.1163925885725835e-09,7.335832830137448e-09,7.332268304268121e-09
2160.0,0.6,7.199373258668648e-09,7.419152531886076e-09,7.403462009589775e-09
2220.0,0.6166666666666667,7.283336123928729e-09,7.502730678987724e-09,7.481685409194385e-09
2280.0,0.6333333333333333,7.368097696047886e-09,7.586986906366198e-09,7.555230988587033e-09
2340.0,0.65,7.453607443095669e-09,7.672002197359282e-09,7.635620279682516e-09
2400.0,0.6666666666666666,7.539924313661178e-09,7.757773083192598e-09,7.711106562355471e-09
2460.0,0.6833333333333333,7.627071444853282e-09,7.844360658309637e-09,7.792079805355111e-09
2520.0,0.7,7.715102610117677e-09,7.931632570587045e-09,7.8694454134258e-09
2580.0,0.7166666666666667,7.804000054770864e-09,8.019614339526059e-09,7.93835037588263e-09
2640.0,0.7333333333333333,7.893758247100288e-09,8.107394877031823e-09,8.01760128092781e-09
2700.0,0.75,7.984139594068662e-09,8.19514192999681e-09,8.095534482091789e-09
2760.0,0.7666666666666667,8.07490523933412e-09,8.283448826141173e-09,8.163350139902136e-09
2820.0,0.7833333333333333,8.166100286793434e-09,8.37141747243519e-09,8.230054980552761e-09
2880.0,0.8,8.257588978722056e-09,8.458381810116945e-09,8.305740431059575e-09
2940.0,0.8166666666666667,8.348994242701967e-09,8.544993838454184e-09,8.369867789026474e-09
3000.0,0.8333333333333334,8.440157887080501e-09,8.631109383197321e-09,8.435089895356123e-09
3060.0,0.85,8.531049672914176e-09,8.71604831476375e-09,8.498100576878854e-09
3120.0,0.8666666666666667,8.621424678220584e-09,8.799986222820507e-09,8.576716377240172e-09
3180.0,0.8833333333333333,8.711114873253672e-09,8.883930301191108e-09,8.6498635526398e-09
3240.0,0.9,8.800269478008713e-09,8.96854775545584e-09,8.719572042982193e-09
3300.0,0.9166666666666666,8.889314659487341e-09,9.05303858087419e-09,8.789254927012194e-09
3360.0,0.9333333333333333,8.978364927541137e-09,9.137169401656982e-09,8.85043537212198e-09
3420.0,0.95,9.067329495749337e-09,9.220369328394961e-09,8.913651729333566e-09
3480.0,0.9666666666666667,9.155979796667317e-09,9.302294165844062e-09,8.968008136256483e-09
3540.0,0.9833333333333333,9.243988531894519e-09,9.38266374071549e-09,9.022625604542666e-09
3600.0,1.0,9.33105608226813e-09,9.461131477234023e-09,9.090488003352287e-09
3660.0,1.0166666666666666,9.416853749666009e-09,9.53893722826312e-09,9.15128352963298e-09
3720.0,1.0333333333333334,9.501453434290905e-09,9.616536087344913e-09,9.211107803078434e-09
3780.0,1.05,9.58520058220265e-09,9.693338117003164e-09,9.274033663647765e-09
3840.0,1.0666666666666667,9.668186163419106e-09,9.769602397821413e-09,9.331338250375774e-09
3900.0,1.0833333333333333,9.750463737451765e-09,9.845152236514234e-09,9.384922065574885e-09
3960.0,1.1,9.832056435090591e-09,9.919404973053954e-09,9.438155850997533e-09
4020.0,1.1166666666666667,9.912790933184048e-09,9.99224822924534e-09,9.484940594483903e-09
4080.0,1.1333333333333333,9.992453278718817e-09,1.006335829581051e-08,9.525876270374085e-09
4140.0,1.15,1.0070814735540725e-08,1.0132142784432397e-08,9.577975826075453e-09
4200.0,1.1666666666666667,1.0147534192324336e-08,1.0199344472653118e-08,9.623997292869685e-09
4260.0,1.1833333333333333,1.022250588463588e-08,1.0265520219378464e-08,9.672690320111863e-09
4320.0,1.2,1.0295938203731433e-08,1.0330549892491302e-08,9.730456474534171e-09
4380.0,1.2166666666666666,1.0367973347575053e-08,1.039539614842e-08,9.76924797431085e-09
